Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3
421,Positive,thai thai delicious ew noodles grilled perfection inside person will definitely ,delicious definitely thai person will ,0,0,0
2126,Negative,celebrate saturday girl wait turned admitted final check later cornered table started drinking byob entrees others meat churrasco ordered rather quickly us agreed beans salted black beans us style screams towards bring yes one whole right also asked long plenty area restaurants vicinity etc ,towards style long salt quickly ,0,0,0
51,Positive,cute eat review group came two regular flavor amazing really cheap also entertainment large come back one ,amazing came cute large entertainment ,1,1,1
161,Negative,ich deutsch kein kaufen really go better use cheesesteaks think heartattack take fat please ,fat use cheese better think ,0,1,1
50,Positive,tapas restaurant hit nai tapas disappoint lively great say amazing chorrizo great dinner tapas date will able accomodate great ,able amazing will lively date ,1,1,0
305,Negative,industry one blindside chic buy droves flock keep opinion whatever work far since wanted love little mom pop essence lots matter kitchy plastic looks since famous people offer egg policy feeling old yes delicious anymore anything way clinton hill good simple dun lot things hopes thing especially good even average pancakes better standards hype something good crabcakes missing fare time made big rude since seemed even diner sham sub sandwiches city qualified diner food makes holiday mood blah even everyday plastic year supposed damnit ,hopes sham mood rude big ,1,1,1
304,Positive,feel review generally savory route good lord revolts go carmelized grapefruit happen whatever poly love ,love lord review sa generally ,0,0,1
924,Negative,occasions going mean man behind know calls vince downright impatience good buddy food go helping cheese congealed friend commented spots marinara spots home add really need pasta cooked probably friend gets senna recommends panini filet meat whether also paninis considerably wraps starting versus time decided wraps recommendation friend named recognizable wrap amongst made eating drench wrap oil etc race finish end mouth small really managed serves want food quality perhaps big left may family ,quality mean big really whether ,1,1,0
181,Positive,new meet recommended manager takes made patient marinated let us another good stuffed garlic sauce kim friendly clean ,patient clean manager another sauce ,0,1,0
285,Negative,yelp biz st marks friendly food chicken sit outside music ears now know walk taste disapointed ,di taste st ears sit ,0,0,0
237,Positive,certainly award kind hearted come fries sausages wedges may long loyal brooklynites looking hearty meal day ,heart award certainly kind hearted ,1,1,0
91,Negative,big trap cheap people good trouble many mean jersey shore ,trouble cheap trap mean many ,1,0,1
56,Positive,one open bar people enjoying pitchers sangria tapas came impressed seat minutes two later order glass half full slightly boozy golden oranges pretty moving stars one bars make know bars plate glass see eats arm large portions running large running noteworthy tapas done rarity city potatoes awesome asparagus melted freaking morue cod fried bread place legit service food fantastic munch ,awesome impressed city pretty ra ,1,1,1
128,Negative,city meat hours fresher money better flags lose need go steak go ,better lose fresh need money ,0,0,1
229,Positive,small bar tender attentive food truffle fries great hh selection go hopefully lil drinks busy talking ,drinks hopefully busy tender bar ,1,0,1
1423,Negative,looking pricey rude place little much eggs toast waitress add manager coffee avoid ,rude much manager add little ,0,0,1
185,Positive,well priced chain nice swordfish favorite things dressing veggie extensive pizza goes thin great mozz pan fried tomato yum dinner good ,good well priced favorite sword ,1,1,1
207,Negative,small checking really way closest walk wait especially puerto rican much vacation puerto yellow expect everything else menu monfongo good chicken needed seasoning order beans came small thin pernil pound one oh flan sorry table waiting long trek reservations wait par policy help ,thin much expect yellow policy ,0,0,0
328,Positive,majilinda dogs venture underdogs replicated cheesesteak underdogs upon dog well juicy chili topping rich thin runny accompanying favorite well especially sausage ,dog sausage chili thin topping ,1,1,1
194,Negative,visited time feeling disappointed worth friendly share sitting servers leaned end phones laughing acknowledging sat dollar hour wines discounts hour mentioned completely comes ,disappointed completely end feeling hour ,0,1,1
256,Positive,already line got around morning cool food mug good btw museum ,good food line museum got ,1,0,1
264,Negative,sweet easy bit counter opposed kept walking annoying enough go ,annoying kept enough bit easy ,1,0,1
271,Positive,worth since two hoping breakfast friend fries good mayo brisket spooning moistened good turkey fries sauce sweet fast nice asked declined nice enough bring glass better go ,since go better sweet worth ,0,0,1
170,Negative,people even arguments immigration respect points steaks one mexican evidence famous speak american joseph america removed american know especially adults learn language ,evidence language removed america speak ,1,0,1
95,Positive,shame visit piece history one yea stars best super seat almost meat bready alert hey veggie philly always onions nice ,nice visit seat hey best ,1,0,1
729,Negative,fusion worst excited add list hoped unfortunately xeo sizzling bacon sprouts soggy oil tasted came made leftover meat instead made buds hours honestly sizzle kind rice fried eat russ daughters day one star atmosphere go rating ,worst oil left instead atmosphere ,1,1,0
22,Positive,ordered menu tasted stood bravas special liiiifeee perfectly de warm cheesy actually cheese good croquetas less great seasoned salty flavor cooked overcooked de filling outer shell food tried pitchers flamenco dancing felt dinner ambience friendly kept checking us definitely back sure make reservations ,actually cheese perfectly sure back ,1,1,1
154,Negative,making find bright tractor pulling car line definitely best cheesesteak senses whiz waa street society night trashed stuffing driving course ,best trash cheese night stuffing ,1,0,1
10,Positive,sushi chinese granted will find differences country made trek glastonbury check place totally worth waitstaff legit recommended beef soup spicy bamboo shoots freaking good ,good shoots worth spicy bamboo ,1,0,0
142,Negative,jerk right billion places every time one table free crazy healthy dose wing even see america ,jerk dose healthy billion see ,1,1,1
321,Positive,end rehearsal clothes shorts sure wearing go astounded member us urban places night qfest happening walked divas belting subdued crowd songs considered beautiful thought gonna karaoke alcohol vodka crunk come gay return knock ,gay shorts clothes diva come ,1,1,0
81,Negative,vs debate real fan cheese bunch visited meat chopped meat american work ,cheese vs work bunch real ,1,0,1
197,Positive,might weekend second tonight food decide blt kinda pig got got tempeh raving important reason one ever order one mary good made waitress everything fish always back refills veggie wings brussel phenomenal make everything good tried chef bleu personally sad request selection went craving burger burger huge fishtown burger compare tasted menu said brioche bun way compliment cheese great back stopped time know support place really mud bar dessert good tell freshly places groceries greens really love weather deck hot spot spring go bring ,phenomena always dessert mary go ,1,1,0
144,Negative,however line wasted unfortunately much especially already drinking sometimes really stay hours ,wasted much already hours unfortunately ,1,1,0
232,Positive,moist buttery topped mouth fries will back visit moist inside nice exterior garlic beer going chicken cut funny hand made batter choice lemony taste ,fries will visit butter topped ,1,1,0
700,Negative,excited pines right menu bad menu one giant hunk place blasts sort raunchy really fit style around ,around bad style fit menu ,1,1,0
191,Positive,times review pumpkin vegan biscuits gravy place visit creative think sazerac tuesday special one year especially tuesday tastes sugar cube cocktail every wonderful thing thursday dangerous last celebrated eaten gator vegan wings per served satisfying man care food else wings ,wonderful satisfying thursday visit think ,1,0,1
547,Negative,pretension level going still disappointed joint informed tell entrance sit bar hanging made head bolt loose comp look sort way tang well bacon mary something predicted surprised make blank stare pre way ask head explode exciting else bathrooms personally mind shared bathroom goes beaded metal urinals modicum privacy sink contamination thought goes turns move curtain said curtain understand versus someone gets damn bead curtain lysol vibe food bring ,mod loose disappointed blank joint ,1,1,0
19,Positive,give feel pitcher happy hours liked much pretty good tapas ,good happy pretty much liked ,1,1,0
352,Negative,dining groupon tag sure walked restaurant bored watching european television larger tables dance ask waitress showing european tube latin food drink friends peruvian beer good glass choices available glass fan though orders taken scavange boys take menu busy overwhelming surprised every french eggs helpful started two muscles love evening unfortunately flavor sheer onion much martini glass plate unfortunately dinner little know time came sweet potato side rest meals warm got colder awaited meal waitress manager apologize ceviche flavor hard anything else fries meh seasoned got one dishes white rice able slightly nice enough done personally steak underseasoned taste buds will yet tea ,bored will sc restaurant tube ,1,0,0
190,Positive,waiting inconsistency place perfect reviews longer today late got burger egg now burgers eggs eggs perfection different lot good juicy tender ask great great restaurants area looking point ,restaurants perfection looking burger tender ,1,1,0
230,Negative,go went two week steak friend ordered medium rare steak given friend little medium well steak put boiler bloody manager time tone whatever also mid twenties hospitality going frisco steakhouse better time sent table second time even yes less fix steak cooking second properly comment card disappointed waiter able enjoy evening go will del steak thing really liked private room view whole perfect knocked know ,knocked boiler will disappointed perfect ,1,0,1
236,Positive,expected excellent sitting counter friendly counter people milk shake son delicious fries wrap shake else prices considering cards sure ,son delicious else excellent shake ,1,0,1
104,Negative,pats well turned flaunt cheesesteaks made bones right seen pointing sign says order english seriously foreigners started photos people journalists op right wing fries smart enough buy lies friends wait war leaves taste pepsi will away wing zombie critical thought cheessteak free fanatic spend ,taste fan sign free op ,1,1,0
257,Positive,awesome old yummy food almost sweet often food coffee warmest kindness stellar service food lemon ricotta pancake never without need butter though go amazing back ,amazing never awesome back sweet ,1,1,0
88,Negative,tourists competitors item actually fries melted still line rude rushed cheese completely go gooey anywhere bright mesmerizing always go away light ,rude cheese away light still ,1,1,0
45,Positive,place bit inventive done price right now really great love see bit dishes served friendly staff relatively arrived informing make us yet everything great beer coming good stuff ,good coming love stuff great ,1,0,1
134,Negative,tough say awful try vice nothing anyone one lights pictures send told chinese restaurant even better now ,awful send better try even ,1,0,0
217,Positive,rican restaurant quick byob eaten time ordering mofongo rice delicious enough friend extremely friendly questions ,eaten rican delicious friend rice ,1,0,1
169,Negative,gaudy sick lights maybe even said cheesesteak line never cross street enter strip ,maybe strip sick street cross ,0,1,0
