Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3
528,Positive,split tapas sit outside food much open thing inside chill ,much outside food chill open ,0,0,0
496,Negative,stars really wish roof try really really food drinks par girl tap well prices jill encountered kate ed ,try ed prices really tap ,0,0,0
403,Positive,serving food service near website giving requirement really new company always feel type promo warmly pleasantly surprised already four table smaller bar inside much look bathroom saloon nice atmosphere parking south st us sangrias quite dollar chips almost laughable casual mexican abnormal tiny soups standout grouper things sauce people drinks savored server made process expensive fun feel need go ,warmly surprised pleasantly fun expensive ,1,1,1
137,Negative,liked crunchier cheesesteak onions barely asked provolone wiz crap completely firefighters line really ,line cheese crunch crap pro ,0,1,1
177,Positive,city dearth good food nice good tasty except circles opened ,good food ta opened dear ,1,1,0
123,Negative,much way fat soggy fan either always cardboard container know workers much yell killed make high soggy eh worth cheese spent right across street twice go now dragged give ,high fat much across dragged ,1,1,1
27,Positive,came thursday pitcher sangrias bubbles alcohol best kind happy show see faces includes dancers way though leaving feel spain forget new york ,spain happy includes forget leaving ,0,0,1
391,Negative,committing going tavern mean people small sized bar establishment patrons result customers one another effort everyone time know dunno standard little decent antipasto good name burger pork mustard quite likely large volumes now past mainly really fact tuesday quite review desired less crowded will area pretty reasonable link ,result anti less mean standard ,1,1,0
203,Positive,things ordered californian mac cash card grub bacon also good mac oh fact door ,fact oh door also ordered ,0,1,0
67,Negative,re philadelphia cheesesteak willing sandwich found anything place keeps people eat ,re sandwich cheese found anything ,0,0,0
221,Positive,see local personalities still symbol meeting new spot boisterously adventurous newbies sights old preparation charming waited long nuances apparent good mofongo garlic mofongo potent sometimes case cocho interpretation hearty rotisserie seasoned fatty perfection nice conversations smiles ,smiles nice charming heart adventurous ,1,1,0
130,Negative,cheesesteaks first moved see missing cut since bit tough made even enjoy ,missing cheese made cut since ,1,0,1
43,Positive,great owner easygoing day flamenco reservation weeks well flavored potato white quite also quite touch entertaining surprise girl forget sangria heck pitchers good gave perfect amount ,perfect amount gave good touch ,1,1,1
301,Negative,forward looking reliving good cookies water goodies increase everyone really rating rating wierd supreme really world gf omelet instead home without ordered cream fabulous price wonderful almost feeling liking likeable joint ,almost cookies price cream without ,0,0,1
59,Positive,part never philadelphia try anda soda go sandwich definitely good live ny way steaks ,good definitely live go and ,1,0,1
104,Negative,pats well turned flaunt cheesesteaks made bones right seen pointing sign says order english seriously foreigners started photos people journalists op right wing fries smart enough buy lies friends wait war leaves taste pepsi will away wing zombie critical thought cheessteak free fanatic spend ,taste fan sign free op ,0,0,1
45,Positive,place bit inventive done price right now really great love see bit dishes served friendly staff relatively arrived informing make us yet everything great beer coming good stuff ,good coming love stuff great ,1,1,1
153,Negative,review sandwich totally eaten review vento immigrant immigrants question answer order spanish wit even think anyone another language seems untranslatable priced tourists locals dollars takes called pu ies loser freedom fries sandwiches pal fu king pretend make least sense something ,un vent least fu sense ,0,0,0
21,Positive,absolutely hands years delicious gambas ajillo garlic pulpo la octopus mussels stuff tapas table food feels still added lastly reasonably awesome excellent miss free flamenco shows saturdays run hour make wanna show make take bit little village probably now back ,awesome excellent delicious reasonably food ,1,1,1
82,Negative,take friends feel visit city never beg else eat chewy dried whiz add stale dirty stand bad represent ,feel friends city beg else ,0,1,1
56,Positive,one open bar people enjoying pitchers sangria tapas came impressed seat minutes two later order glass half full slightly boozy golden oranges pretty moving stars one bars make know bars plate glass see eats arm large portions running large running noteworthy tapas done rarity city potatoes awesome asparagus melted freaking morue cod fried bread place legit service food fantastic munch ,awesome impressed city pretty ra ,1,0,1
117,Negative,moving months came visit never yeah anyway forgot geno made perfect tell ordering gruff counter particular gruff slid slid boyfriend drink one filled know standing cheesesteak utter front bell california thing neither hate feel cheese appendix way last meal wanted rolled hailed ,hate utter neither feel thing ,1,0,1
9,Positive,call good group social order delivery areas basis drivers delivers usually occasions thing sushi big groups hot regular caterings ,call occasions su hot thing ,0,0,1
122,Negative,line will drive hrs chopped dripping sandwich cheese onions mustard hotsauce side make dryness helped weak sandwich correspond time ,weak time dry hot cheese ,1,0,1
408,Positive,cozy big one city actually visiting saying authentic best staff good seated ,good best saying authentic city ,1,0,1
144,Negative,however line wasted unfortunately much especially already drinking sometimes really stay hours ,wasted much already hours unfortunately ,1,1,0
32,Positive,breath air aming overpriced places assortment tasty friendly artery great place friends shoot breeze recommend rojo last giant ,breath place air last ta ,1,1,1
145,Negative,worst philly understand place folks best right rude normal bland priced joint somerset broad broad good leave guy place ,worst bland normal broad place ,1,0,1
237,Positive,certainly award kind hearted come fries sausages wedges may long loyal brooklynites looking hearty meal day ,heart award certainly kind hearted ,1,0,0
342,Negative,issue underwhelming hot dog love limit point others city also lack attention incredibly dogs go cart outside drop lunch reason even always without something discernibly wrong california california heavily ladled soupy soaked stomach georgia come enough hash cover dog including advice sauce known away hash almost much expensive easy getting door ,lack reason attention much without ,1,1,1
256,Positive,already line got around morning cool food mug good btw museum ,good food line museum got ,1,1,0
729,Negative,fusion worst excited add list hoped unfortunately xeo sizzling bacon sprouts soggy oil tasted came made leftover meat instead made buds hours honestly sizzle kind rice fried eat russ daughters day one star atmosphere go rating ,worst oil left instead atmosphere ,1,0,1
231,Positive,dinner plain pie dinner piccata dinner one best ny style area said best style restaurant parm really good fresh ingredients entrees small took portion small side hundreds pizzarias looking forward restaurant certainly ,good really certainly fresh forward ,1,1,0
138,Negative,beef got real sandwich hot bad colder soggy crispy anything promoting ,bad hot beef sandwich so ,1,1,0
246,Positive,timing kinda deelish happy feta eggs cooked spinach gotta yums sunny know fresh im meter high reuben amount meat normal human meat challah fries cappuccinos tasted chocolate worthy another visit ,another dee worthy tasted chocolate ,1,1,0
359,Negative,really hate day ordered items hour gender anything sometimes worry women phones pray one choices good ,hate really choices phones worry ,1,1,0
19,Positive,give feel pitcher happy hours liked much pretty good tapas ,good happy pretty much liked ,1,0,1
158,Negative,go run racist first short refuse ordered english america ordering complaint defended racist discriminatory court current sign right whatever actually speak joey vento believes english english false offensive distributes say photo says management right refuse service vento old reasons illegal political view plenty philadelphia another food cesspool signs frequently another line bottom line getting plate enjoyment also ,vent offensive illegal complaint false ,1,1,0
190,Positive,waiting inconsistency place perfect reviews longer today late got burger egg now burgers eggs eggs perfection different lot good juicy tender ask great great restaurants area looking point ,restaurants perfection looking burger tender ,1,1,0
230,Negative,go went two week steak friend ordered medium rare steak given friend little medium well steak put boiler bloody manager time tone whatever also mid twenties hospitality going frisco steakhouse better time sent table second time even yes less fix steak cooking second properly comment card disappointed waiter able enjoy evening go will del steak thing really liked private room view whole perfect knocked know ,knocked boiler will disappointed perfect ,1,0,0
