Topic_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3
3560,AUTO,uxa cso uiuc carolinafan bang faraday clas virginia roy matthew thigpen best bet dodge intrepid sohc valve six gets hp hell lot room great styling abs four wheel disk breaks lh cars won automobile magazines year award quiet impressive though chintan amin university illinois urbana champaign llama human goodness moral called insane peart cinderella man ,impressive pear though wheel hell room quiet lot six magazines ,0,1,1
6509,MEDICINE,nyeda cnsvax uwec david nye mental illness reply dabbott augean eleceng adelaide au derek abbott case histories severe cases remarkably recovering tragic accident trauma eg fault trapped fire losing legs say know patient severely chronically depressed tried kill bullet temple essentially gave prefrontal lobotomy curing depression midelfort clinic eau claire wi patently absurd whoever wishes become philosopher must learn frightened absurdities bertrand russell ,depressed mid chronic severe fault depression absurd u severely become ,0,1,0
3527,AUTO,shou logos asd sgi tom ford explorer need performance axle considering getting xlt following questions go skiing roading limited slip purpose allow tires act independently different terrain will season good enough us lake tahoe thanks silicon graphics shoreline blvd ms fax mountain view ca ,good season us enough questions act will skiing terrain considering ,1,1,1
6530,MEDICINE,teenage acne pchurch swell actrix gen nz pat churchill son usual spotty chin greasy nose bought clearasil face wash ointment think probably enough along good diet however product called dalacin used prescription treatment available counter asked couple pharmacists say either severe ok odd spots teenager nothing serious father figure going escalate something disfiguring know kids senstitive appearance wary wierd malady eventually put overdose vitamin want help appropriate also scaliness around hairline scalp sort cradle cap pointers advice tried anti dandruff shampoos inclined make condition worse better shall bury kid till floggings will continue morale improves wellington new zealand ,nose new worse anti spot di diet sham greasy severe ,0,1,1
3609,AUTO,eliot stalfos engr washington top reasons love cr humor impaired article magnus acs ohio state jnielsen john nielsen blah ok right name good examples brought create new rec autos yes oh yeah father lick ,ok good brought impaired father create right examples humor new ,1,1,0
6506,MEDICINE,dougb comm mot doug bank blood cholesterol gabe advice article mojo eng umd georgec george clark forget total assessing health risk factors instead use relationship ldl hdl need least gee must risking something high triglycerides drug choice gemfibrozil lopid taken tablet thirty minutes morning evening meals exercise low fat diet long term effects private systems division ecs motorola communications sector nwu schaumburg illinois casbah acns ,low com drug um fat high exercise use total ld ,1,1,1
3522,AUTO,convertibles bouton gertrude cms udel katherine wondering someone point somewhere find list hopefully comparison days seems making big comeback sure look ,comeback seems sure someone look big find list somewhere wondering ,0,0,1
6507,MEDICINE,cliff buster stafford tx us tomplait sex problem albnyvms bitnet larry silverberg question hope taken seriously despite content long time girlfriend lately initiating sexual activity last four months things changed dramatically make shorter nothing think suggested go counselor really want yet suggestions appreciated help please contact mail info serious replies thanks one hand state seems see recommend examine hesitation good environment issues fact matter different perception two need address issue order resolve consider going possibly hurt paramedic ,problem shorter seriously long mail make taken bit order activity ,1,1,0
3558,AUTO,steve green csiro au subaru liberty owners station wagon months now saying happy understatement great well built handles beautifully plenty power trip mountains narrow windy dirt road often parts ease havent much fun driving car years hey rocky watch pull rabbit hat comms group trick never works branch sleeve presto australia doubt gotta another ,handles never parts power narrow well haven built much trip ,0,1,0
6500,MEDICINE,bed intacc uucp deb waddington info disease yr old male friend misdiagnosed osteopporosis two years recently found illness rare symptoms brittle bones lost inches hieght enlarged liver spleen internal bleeding fatigue time problem type attributed genetic mutation lack enzyme glucocerebroside macrophages cells swell will eventually cause death enyzme replacement therapy successfully developed approved fda last patients administered drug called ceredase report remarkable improvement condition manufactured biotech biggy company genzyme costs patient per year justifyably expensive world need researched library relying netlanders provide additional news stories reports people know ideas articles corp hold enough money buy programs available help basically offer thanks much deborah ,thanks lack mis internal problem found u int remarkable g ,0,1,0
3732,AUTO,dduff col hp dave duff taurus sable rotor recall sables fleet cars site every year company sells later employees folks know drive buy complaints seem real nice ,real folks sells know nice site sable drive complaints employees ,1,1,0
6513,MEDICINE,pitt kenneth gilbert lungs article kuhub cc ukans bennett long take clear tar quitting chances getting lung cancer decrease quickly considerable amount time happen answer first question rather difficult without lot autopsies second something known appears within years smoking risk developing drops person never smoked assuming interim someone equivalent pack per day around times high non smoker still low overall significant personally concerned heart disease secondary much common even small increase university pittsburgh general internal medicine dammit programmer ,considerable programmer dammit internal low quickly long amount lungs without ,1,0,1
3640,AUTO,daniel holbrook andrew cmu us drive left rob whips tempers initially cars built controls right way people drove buggies many earliest steering center vehicle discernible pattern hand years century america least wheels became mule team horses imagine explanation however seems merit dan carnegie mellon university applied history coffee plunges stomach mind aroused ideas pour forth battalions grand army field battle memories charge full gallop light cavalry comparisons deploys magnificently artillery logic hurry train ammunition flashes wit pop sharp shooters honore de balzac cups day ,flashes wit magnificent train logic aroused artillery deploy ammunition hurry ,1,1,1
6528,MEDICINE,swkirch nrl navy mil steve kirchoefer breathe getting back original question experienced breathing difficulties years ago similar described case turned developing type diabetes although never sought direct confirmation doctor think problem associated presence ketones due ketosis occur lesser degree one restricting food intake drastically know relevant might ask daughter eating properly code estd naval research laboratory microwave technology branch washington dc electronics sci tech division ,intake est problem similar tech never ago case developing mil ,0,0,1
3548,AUTO,faraday clas virginia roy matthew thigpen bang best bet dodge intrepid sohc valve six gets hp hell lot room great styling abs four wheel disk breaks lh cars won automobile magazines year award quiet impressive ,impressive best six award breaks dodge roy automobile matthew hell ,1,0,1
6501,MEDICINE,mcdonald aries scs uiuc jiggers article cup portal mmm mark robert thorson happen thing chiggers truly awful parasitic affliction understand tiny bugs dig deeply skin burying yuck things oklahoma close mother comes gainesville tex right across border claim chigger capitol world believe grew fort worth bad enough summer attack guaranteed doug ,bad sc attack af awful parasitic cup fort dig guaranteed ,0,0,1
3685,AUTO,tquinn heartland bradley terry quinn waxing new car taken delivery gm firebird clearcoat finish assume probably urethane since industry moved direction paints years past used recommended owners wait days wax paint cure dealer shop manager said also sure basing tradition anyone know still practice better go ahead right away non abrasive newer finishes germantown hills il compuserve ,sure manager non newer assume past basin also anyone used ,1,1,1
6504,MEDICINE,uabdpo dpo uab stephen holland lactose intolerance article husc harvard ho leung ng kid primary school used drink tons milk without problems however nowadays hardly experiencing discomfort responsible change became older intestine normalized weaned state tolerance unusual adults mammals except sapiens northern european origin asian descent assumption based name loss lactase normal steve ,problems normal sap int experiencing responsible assumption loss state primary ,0,0,0
3600,AUTO,mobasser vu vlsi ee vill bijan mobasseri dumbest automotive concepts time ford vent windows operated crank window opened normal bronco pretty much every truck seen worth riding mean young feller anymore james callison microcomputer coordinator oklahoma law center understand fascination create tremendous turbulence noise makes even simple connversation impossible speeds current flow throuh ventilation designed right far superior ,noise superior designed right dumb ventilation tremendous impossible flow far ,1,1,1
6502,MEDICINE,fulk cs rochester mark breech baby info needed article trentu ca xtkmg kate gregory another uncommon problem maternal hemorrhage remember incidence something births hard see handle home much time thing might consider risk tradeoffs vary loss loved one require considerable effort avoiding seem terrified birth process ridiculous unable believe bodies actually designed evolved discomforts us humans trouble free sacrificed increased brain cranial size wild animals easier domestic horses cows typically worse give family tree complicated pioneer great grandfathers several wives never figure wife child ask happened reached forties quite prosperous farmers nonetheless lost rigors childbirth graveyards spencer indiana boswell north dakota contain gravestones ida wf jacob liptrap may wanted section women carrying case hundred thousand babies hung second stage ten consequences devastating direct experience dozen victims fouled now want born hospital based guess likely false belief fatal always often happens reach adequate help permanently damages health clearly believer divine design however evolution favor kids encourage six inch holes cut stomach muscles expose anesthesia infection whatever measures think necessary wroth read outrageous straw man attack months practically mouth foam statistically sophisticated enough balance risks although produce exact statistics years last looked rest assured balanced caesarean unless indicated hand opposed obvious grounds waiting emergency bear took lead decisions talked things lot leg work main really bothered continued suggestions especially misc kidders pregnant first dangerous even unpleasant far better run naturally know many advocates mother luddite planning sake everyone needs people bother find relative unwilling take significant order nice surroundings view intensity doubt importance anyway somehow values advocating lopsided taking fairly small serious permanent harm preserve esthetic consideration university computer science department ,fu worse problem free loss ridiculous see brain fort might ,0,1,1
